,bookid
480,1049236
481,4326036
482,1442454
483,1442455
484,4850325
485,3277465
486,1049242
487,4850324
488,3146389
489,2359965
490,3539606
491,3277472
492,4719265
493,4194978
494,1442468
495,1442469
496,1442470
497,4326055
498,3015333
499,4326057
500,4850340
501,3277483
502,3277484
503,3277485
504,3015341
505,1442476
506,4326060
507,3408561
508,3932849
509,3015347
510,3277487
511,2228917
512,3015352
513,1442489
514,1442490
515,1442491
516,1049276
517,3015357
518,3015359
519,3015360
520,3932865
521,1966787
522,3015365
523,1049286
524,1835721
525,1049290
526,1835723
527,3015382
528,3015383
529,1835736
530,3015384
531,3015386
532,3015388
533,3539677
534,3015389
535,3015391
536,3015393
537,4326113
538,3015395
539,3277541
540,3277542
541,3015398
542,3015400
543,1180393
544,1049321
545,1049323
546,3015404
547,3015403
548,3015397
549,3015407
550,4719343
551,3015405
552,3670772
553,1049333
554,1049337
555,2228986
556,3408633
557,4719356
558,1049338
559,4850433
560,2884355
561,1704711
562,1049354
563,1049355
564,1049361
565,2229010
566,3932947
567,1573657
568,1573659
569,1573660
570,2360092
571,1573662
572,1180446
573,1573664
574,1704734
575,4719394
576,3408674
577,1704735
578,1573669
579,3539751
580,1835817
581,1573674
582,2229034
583,2229036
584,3277610
585,1573675
586,1049390
587,1180463
588,1573681
589,3146546
590,3015475
591,2229044
592,4719411
593,4850486
594,1311542
595,2229048
596,1573689
597,1049400
598,2229049
599,1049404
600,1442621
601,1573688
602,1442616
603,1442620
604,1442625
605,2229053
606,1573699
607,1049411
608,1442627
609,1049414
610,3015494
611,2229064
612,1049417
613,3146570
614,2360135
615,4326220
616,3015500
617,1442638
618,4064076
619,1704785
620,1049426
621,3670867
622,3146580
623,1311571
624,1442644
625,1049429
626,3146584
627,2229081
628,1442650
629,1442651
630,1311579
631,1311581
632,3539805
633,2229087
634,5243743
635,1049435
636,1704801
637,3539806
638,4326244
639,4850532
640,1704807
641,1049448
642,3670891
643,1311600
644,1311601
645,1442674
646,1049456
647,1442676
648,3933045
649,1442678
650,1049463
651,1442680
652,1442681
653,1442682
654,1049464
655,1311610
656,1049469
657,1835901
658,5243775
659,1442688
660,1966970
661,1442690
662,1049476
663,1049477
664,1442694
665,1573766
666,1311624
667,1442697
668,1442698
669,3015561
670,1442702
671,1442703
672,1835919
673,1442705
674,1442706
675,3408787
676,1442708
677,1442709
678,1442710
679,1442711
680,1442712
681,1049492
682,1180569
683,1311636
684,2229141
685,3277725
686,1442718
687,1442719
688,3146656
689,1442720
690,1573793
691,1442721
692,3277728
693,1049509
694,1180573
695,1311655
696,1311656
697,1967017
698,1704866
699,1311659
700,4326316
701,2229165
702,1311660
703,2229166
704,5243817
705,1311665
706,1049522
707,4850617
708,3408826
709,4326332
710,3015614
711,2753471
712,3802048
713,1967041
714,1049536
715,3015619
716,4850629
717,3802056
718,1442764
719,2360269
720,3408846
721,1049552
722,4850641
723,1311700
724,3015639
725,4195288
726,1049561
727,1311706
728,1311703
729,1823807
730,3015647
731,3539936
732,3015649
733,1311714
734,2229219
735,1442788
736,1442789
737,1442790
738,1836003
739,3408872
740,3015657
741,1442794
742,1311723
743,1442793
744,2229229
745,3015662
746,1442791
747,1823809
748,1049586
749,3671027
750,2360307
751,2360306
752,4326390
753,1049590
754,1311732
755,1836025
756,1836026
757,1311738
758,4326398
759,1049601
760,1049602
761,1442817
762,1836034
763,1311748
764,1836035
765,1442824
766,1049609
767,1836040
768,1836041
769,4719629
770,1442830
771,1311763
772,2098195
773,1442838
774,1049629
775,1311773
776,1049635
777,1442851
778,1967143
779,3015719
780,2360359
781,3540011
782,3015723
783,1967149
784,1442859
785,1049648
786,3277873
787,1442868
788,1442869
789,1442870
790,1442871
791,3277881
792,2360379
793,1146485
794,1311807
795,2360383
796,2098241
797,3015747
798,2360388
799,2360390
800,1049670
801,2360392
802,1049672
803,1442890
804,1311819
805,1967180
806,1442892
807,2098251
808,1823829
809,3015751
810,1049681
811,3015755
812,2098259
813,2098255
814,1049686
815,1049688
816,2098264
817,1049690
818,1823832
819,1049695
820,3277924
821,1442917
822,2360420
823,3015783
824,1442920
825,1442919
826,3015786
827,1442918
828,1967207
829,1180782
830,1180783
831,3015792
832,1311857
833,1180784
834,2229359
835,4850804
836,1311861
837,1442937
838,1442938
839,2360441
840,3015804
841,1049727
842,1442943
843,2098304
844,1311874
845,1311879
846,1442951
847,1836170
848,1049739
849,2360458
850,1442958
851,3540112
852,1311888
853,1049748
854,3540116
855,1836181
856,1836183
857,1049751
858,3540122
859,1442972
860,1442973
861,3015838
862,3802270
863,1836192
864,1967264
865,2098337
866,1705123
867,2229412
868,2360485
869,1967267
870,3802271
871,2098344
872,3540137
873,3540136
874,2360490
875,2229419
876,2229417
877,2360493
878,3802287
879,3802288
880,3802289
881,4064434
882,1442992
883,1705137
884,2229429
885,1836207
886,1311926
887,1967283
888,1442997
889,3802295
890,2229435
891,1443008
892,2360514
893,3146948
894,1836229
895,1049797
896,1443015
897,3540168
898,3146953
899,3146951
900,4195531
901,1049804
902,2229453
903,4195532
904,1311945
905,1443021
906,1443025
907,2884818
908,1574099
909,1705172
910,1311957
911,1049814
912,1443031
913,3802328
914,3802327
915,3802330
916,1049813
917,2229468
918,1311965
919,1311962
920,2360543
921,1311968
922,3540191
923,1836258
924,1443043
925,1049828
926,1705185
927,1705187
928,1836262
929,1311969
930,2360547
931,1836268
932,1836269
933,2098414
934,1311983
935,1836272
936,1836273
937,1311989
938,1705206
939,3540213
940,1311994
941,1311997
942,1311998
943,1443071
944,1443070
945,2360573
946,1311999
947,4741642
948,1443076
949,1443079
950,1967369
951,1049865
952,1443082
953,2360586
954,3802381
955,3802382
956,5244174
957,1443084
958,1443091
959,3671316
960,3015957
961,1049879
962,1180952
963,1016271
964,3015965
965,1312029
966,2360606
967,1312032
968,1312035
969,1312036
970,1312039
971,1312041
972,1049897
973,3278122
974,3278125
975,1443118
976,1312047
977,1443120
978,1312048
979,1443122
980,1312054
981,3671351
982,3671352
983,3671353
984,3671354
985,1312056
986,2098492
987,1705280
988,1836352
989,1049922
990,1443138
991,1049924
992,1443141
993,2229574
994,1049927
995,2098507
996,1312076
997,1181005
998,3802448
999,1312086
1000,1705302
1001,1049944
1002,1181016
1003,1049946
1004,3147099
1005,3147098
1006,3802461
1007,1443158
1008,1312095
1009,4719967
1010,3147105
1011,2970152
1012,1049957
1013,1312102
1014,1705317
1015,3802472
1016,1443179
1017,1443180
1018,1967469
1019,3802478
1020,1967470
1021,1443184
1022,1443185
1023,3409263
1024,2229614
1025,2229620
1026,1705332
1027,1312118
1028,1049976
1029,3147130
1030,1443196
1031,4195708
1032,1049983
1033,1049984
1034,1967490
1035,1443203
1036,1443204
1037,1312131
1038,3671430
1039,4720006
1040,2229639
1041,1443209
1042,1443210
1043,1312132
1044,1049996
1045,4851084
1046,3671435
1047,3540367
1048,3409295
1049,2229649
1050,3671442
1051,1312147
1052,1049999
1053,2229653
1054,1050006
1055,1312151
1056,1443224
1057,3671441
1058,2360731
1059,1705372
1060,2006257
1061,1050016
1062,1068401
1063,1443233
1064,4851107
1065,1967524
1066,1312165
1067,3016101
1068,1050023
1069,1705380
1070,1016299
1071,3802538
1072,3016106
1073,1443244
1074,2229675
1075,1443245
1076,3016111
1077,1967536
1078,1836464
1079,1443248
1080,1705393
1081,1312177
1082,1443258
1083,4720061
1084,1181118
1085,1443263
1086,1050048
1087,1050049
1088,1443264
1089,1312194
1090,1312196
1091,2360765
1092,1050051
1093,3671497
1094,3278282
1095,3147211
1096,1443276
1097,1443277
1098,3671502
1099,1705423
1100,3016144
1101,4064715
1102,4195789
1103,1050067
1104,3278286
1105,3278291
1106,3016150
1107,1181142
1108,1312213
1109,1050073
1110,1574362
1111,1967577
1112,1443283
1113,1836509
1114,1312222
1115,4064735
1116,1050080
1117,2360801
1118,4195810
1119,1050083
1120,1312224
1121,4064736
1122,3671526
1123,1443303
1124,1443304
1125,4064738
1126,1050091
1127,1181166
1128,1705455
1129,4195825
1130,2360817
1131,1836531
1132,3016181
1133,4064758
1134,3016182
1135,3540473
1136,1181178
1137,1050108
1138,4851197
1139,4720124
1140,1836543
1141,1050111
1142,1050109
1143,1836546
1144,1050114
1145,4720130
1146,1443337
1147,1443338
1148,1836555
1149,1050124
1150,1050122
1151,1443342
1152,1050126
1153,3671567
1154,1443339
1155,1705490
1156,4326922
1157,1443349
1158,1443350
1159,1967638
1160,1967640
1161,1836569
1162,1443351
1163,1443353
1164,1836571
1165,3016221
1166,1181213
1167,3540510
1168,1443359
1169,1443361
1170,1836577
1171,1705507
1172,1181217
1173,1181221
1174,1443363
1175,1312295
1176,1050144
1177,3278377
1178,1705513
1179,1836587
1180,3278380
1181,1967656
1182,1836581
1183,3671599
1184,1016326
1185,3278384
1186,1312299
1187,1443381
1188,3016247
1189,1443384
1190,1443385
1191,1836600
1192,1836599
1193,1050174
1194,1050175
1195,4064832
1196,1181248
1197,1443394
1198,1443395
1199,1443396
1200,1705541
1201,4195910
1202,2360903
1203,1836616
1204,3016264
1205,1967688
1206,1836619
1207,1181259
1208,1836621
1209,3016270
1210,1705544
1211,1312328
1212,1705546
1213,1443410
1214,1312339
1215,1312340
1216,3802708
1217,4589142
1218,1050199
1219,3671643
1220,1836635
1221,1967709
1222,3802715
1223,3802721
1224,1967714
1225,1980245
1226,1574501
1227,1967717
1228,1967719
1229,2098792
1230,2360937
1231,1967722
1232,1705579
1233,1050218
1234,3409515
1235,1836650
1236,1443439
1237,1705578
1238,1967723
1239,1443443
1240,1705588
1241,1443444
1242,1705590
1243,1705591
1244,1312376
1245,3671670
1246,1443450
1247,1967735
1248,1967740
1249,1967738
1250,1836670
1251,3016318
1252,1836671
1253,1443455
1254,1443458
1255,2360960
1256,1443459
1257,1443460
1258,1443456
1259,1443471
1260,3016336
1261,1050256
1262,1967760
1263,1443473
1264,3147412
1265,1443478
1266,1443479
1267,2360984
1268,3016344
1269,1443483
1270,1836701
1271,1050269
1272,2098853
1273,1050279
1274,2098856
1275,1443497
1276,2229931
1277,4851372
1278,1967789
1279,1050286
1280,2229936
1281,3409585
1282,3540658
1283,1967793
1284,1705652
1285,3802804
1286,2229940
1287,1312441
1288,1181370
1289,3147450
1290,1443516
1291,3671738
1292,3016382
1293,1443519
1294,1967806
1295,3409600
1296,1443522
1297,1181379
1298,3671747
1299,1312453
1300,1967814
1301,1443526
1302,1443521
1303,1967817
1304,1967818
1305,1967819
1306,3409609
1307,1443530
1308,2098894
1309,1050318
1310,1312464
1311,1967822
1312,1312466
1313,3409619
1314,1050324
1315,1967829
1316,1312465
1317,3147479
1318,1443543
1319,3147481
1320,1312474
1321,3409620
1322,2229980
1323,3671770
1324,1312478
1325,1967835
1326,1050336
1327,1050339
1328,1050340
1329,1443557
1330,1967845
1331,3409639
1332,3147496
1333,1312489
1334,1443561
1335,1443563
1336,1050348
1337,1050349
1338,1705710
1339,4327151
1340,4065005
1341,1050353
1342,1705714
1343,3802863
1344,1276881
1345,2098933
1346,1181430
1347,3409655
1348,1312502
1349,3278586
1350,1705722
1351,1443581
1352,2098941
1353,1050368
1354,3540736
1355,2361090
1356,1967872
1357,3671811
1358,1443597
1359,1705742
1360,3016463
1361,2230031
1362,1181459
1363,2230040
1364,1312538
1365,1836829
1366,1050400
1367,3147552
1368,1836835
1369,1050405
1370,1705765
1371,1050407
1372,1312551
1373,1836842
1374,3016491
1375,1312558
1376,3409710
1377,1443632
1378,1312561
1379,2361135
1380,1181493
1381,1443638
1382,1836855
1383,2885432
1384,2099001
1385,3016511
1386,3016514
1387,1967939
1388,3016515
1389,1705796
1390,3016518
1391,3147593
1392,2230093
1393,1443662
1394,1836879
1395,1836880
1396,1443664
1397,1050446
1398,1050451
1399,4196180
1400,3016533
1401,1443671
1402,1836890
1403,4196187
1404,1050459
1405,2230108
1406,3802974
1407,4851547
1408,1312608
1409,1312609
1410,1050466
1411,1050467
1412,3016547
1413,3147621
1414,1443685
1415,1050471
1416,1967977
1417,1443689
1418,2361194
1419,2361196
1420,4720493
1421,4851563
1422,4851567
1423,3409772
1424,1836913
1425,1443698
1426,3147634
1427,3016566
1428,1443704
1429,1705848
1430,1181562
1431,3803002
1432,1050492
1433,3016575
1434,1443713
1435,3278722
1436,1705860
1437,1968004
1438,1050501
1439,3278728
1440,3278729
1441,1443720
1442,1836940
1443,1443725
1444,1050510
1445,1968020
1446,3016598
1447,4851607
1448,1312664
1449,3016604
1450,1836957
1451,1836958
1452,1050527
1453,2361246
1454,1836960
1455,2230173
1456,1443747
1457,1050532
1458,3016613
1459,1443748
1460,1050533
1461,2099112
1462,4851625
1463,3147689
1464,2885547
1465,2099116
1466,1312685
1467,2099118
1468,1705903
1469,1312688
1470,1312689
1471,3147695
1472,2136621
1473,2099122
1474,4851633
1475,4720566
1476,2099127
1477,2099123
1478,1443771
1479,4720572
1480,3278779
1481,3016638
1482,1050559
1483,2230208
1484,3147713
1485,3016642
1486,1968066
1487,1443774
1488,3147717
1489,1050566
1490,1443782
1491,3278792
1492,4851653
1493,1705930
1494,3278795
1495,1443786
1496,1443788
1497,1837006
1498,1312718
1499,1443787
1500,2230224
1501,1312721
1502,1443789
1503,1968084
1504,1443790
1505,1443798
1506,1312723
1507,2099157
1508,4851673
1509,1312730
1510,3016667
1511,1050588
1512,1312733
1513,3278813
1514,1050584
1515,4196320
1516,4720603
1517,1312739
1518,1312740
1519,1312741
1520,3278822
1521,1443815
1522,3147752
1523,1968105
1524,3016678
1525,1050603
1526,4065256
1527,1050607
1528,1050609
1529,3016692
1530,1705973
1531,3147770
1532,1705980
1533,3803135
1534,4065280
1535,3016705
1536,1050626
1537,3409922
1538,1050624
1539,4720640
1540,1443846
1541,4720644
1542,4720648
1543,3016713
1544,1050634
1545,1443853
1546,1050640
1547,1050641
1548,1050645
1549,1443862
1550,1574936
1551,4720666
1552,1050651
1553,1443868
1554,4720669
1555,1443869
1556,1574941
1557,1574938
1558,2230305
1559,1050658
1560,1050652
1561,1050660
1562,1443877
1563,1968166
1564,1181735
1565,1443879
1566,2099232
1567,1968170
1568,1181740
1569,1181741
1570,1181742
1571,1968175
1572,1443889
1573,1706035
1574,1837108
1575,3672117
1576,1443892
1577,1706039
1578,1050680
1579,4720694
1580,3934265
1581,4327483
1582,1443894
1583,4851778
1584,1443907
1585,2230339
1586,4720713
1587,1443914
1588,2230348
1589,1050702
1590,4720718
1591,1574993
1592,3016786
1593,3147859
1594,3541076
1595,3803220
1596,4720727
1597,3016791
1598,3672151
1599,3803226
1600,3278939
1601,1181787
1602,4196445
1603,3278941
1604,1968219
1605,1837151
1606,1968225
1607,2361442
1608,3147875
1609,4851812
1610,4851813
1611,1312869
1612,1443943
1613,4851816
1614,1706083
1615,4327521
1616,1050731
1617,5262846
1618,4851821
1619,2099309
1620,1443951
1621,3672176
1622,4851822
1623,1968242
1624,1312883
1625,1968244
1626,1312884
1627,1443958
1628,1050743
1629,1443960
1630,1706103
1631,1706106
1632,1837178
1633,1443964
1634,1050748
1635,4327544
1636,3803963
1637,1050755
1638,1968259
1639,1706117
1640,1706119
1641,1968264
1642,1443976
1643,1050762
1644,3803275
1645,1968268
1646,3803277
1647,1706120
1648,1050763
1649,3803280
1650,1706129
1651,1312914
1652,2099345
1653,1706132
1654,1837204
1655,1050774
1656,1706133
1657,3803279
1658,1968281
1659,4720796
1660,2230429
1661,1312926
1662,1443996
1663,1050784
1664,1444000
1665,1706146
1666,3016869
1667,1706150
1668,1968295
1669,3279014
1670,1312935
1671,4196517
1672,1444011
1673,1146313
1674,3672237
1675,1312942
1676,4720817
1677,1968308
1678,1444021
1679,1050805
1680,3279031
1681,1312952
1682,1444025
1683,1312953
1684,1444027
1685,1312955
1686,1968313
1687,1444022
1688,1444031
1689,1050816
1690,1444024
1691,1444034
1692,1444035
1693,3672259
1694,1312959
1695,1575109
1696,2361543
1697,1706188
1698,1050830
1699,4851920
1700,1312977
1701,1312978
1702,1837267
1703,1444052
1704,1312980
1705,1968338
1706,1706199
1707,1837271
1708,3279064
1709,3016916
1710,1444059
1711,1968349
1712,3048486
1713,1312994
1714,1312995
1715,1312997
1716,3016934
1717,1312999
1718,1706214
1719,1313001
1720,1706218
1721,1444077
1722,1706222
1723,1444078
1724,1313007
1725,2361585
1726,1444079
1727,1050866
1728,2099442
1729,3543469
1730,1050870
1731,4065519
1732,2099444
1733,3016947
1734,3803387
1735,1444091
1736,3672315
1737,1706235
1738,3279105
1739,1444098
1740,1313027
1741,1313028
1742,1444100
1743,1313026
1744,1444104
1745,2361610
1746,1706252
1747,1313040
1748,2230545
1749,1444114
1750,1444112
1751,3543476
1752,1050901
1753,3016979
1754,3016983
1755,1706264
1756,1706263
1757,2361628
1758,1837340
1759,1837342
1760,1837343
1761,2230560
1762,1050911
1763,1706274
1764,2230563
1765,3541284
1766,1968420
1767,1837350
1768,2230567
1769,3541288
1770,2230564
1771,2099498
1772,1837348
1773,2230572
1774,1313069
1775,1313070
1776,1444141
1777,1444144
1778,1050929
1779,2230573
1780,1444145
1781,1444142
1782,3541295
1783,1050934
1784,1050933
1785,4065592
1786,1837368
1787,2361654
1788,1050941
1789,2099518
1790,1444157
1791,4327743
1792,4196673
1793,1313090
1794,4852033
1795,4196675
1796,1313089
1797,1050951
1798,3803464
1799,3148105
1800,1313097
1801,3541325
1802,2230606
1803,1050959
1804,1444174
1805,1444177
1806,1313102
1807,2230611
1808,1313101
1809,1968466
1810,1968464
1811,3279191
1812,3803480
1813,1968473
1814,2361681
1815,1968475
1816,1837399
1817,1050969
1818,1050973
1819,1182048
1820,1837411
1821,1313124
1822,1444195
1823,1313126
1824,3017063
1825,1313128
1826,3017064
1827,3017066
1828,3017067
1829,1313132
1830,4196716
1831,4065645
1832,2099567
1833,1968488
1834,1444209
1835,1182058
1836,1313139
1837,1050996
1838,1706355
1839,1050995
1840,1837431
1841,3017080
1842,1444217
1843,1313145
1844,2230644
1845,1444220
1846,1051004
1847,3803518
1848,3017087
1849,1051008
1850,3279233
1851,1051010
1852,1313155
1853,1313156
1854,1444225
1855,3672454
1856,1313159
1857,1182088
1858,1182089
1859,1313160
1860,1313158
1861,1706376
1862,1968525
1863,2099598
1864,3148173
1865,1444240
1866,3148170
1867,1444241
1868,2361747
1869,1968530
1870,3672469
1871,1313174
1872,4327831
1873,1051032
1874,1313175
1875,1837466
1876,1444249
1877,1051036
1878,1706396
1879,1313181
1880,1444252
1881,4196767
1882,3017121
1883,1051042
1884,4196771
1885,1313185
1886,1313186
1887,2361766
1888,4327846
1889,2361768
1890,4196772
1891,1313194
1892,1313195
1893,3017132
1894,3017133
1895,1313198
1896,4196783
1897,3017135
1898,1051056
1899,3279282
1900,4327859
1901,2099631
1902,1051061
1903,1706422
1904,3279291
1905,4196795
1906,4196797
1907,4852156
1908,4196798
1909,3148224
1910,1313217
1911,3148220
1912,3148221
1913,1051078
1914,1706438
1915,1051080
1916,1051081
1917,3279306
1918,3803595
1919,2361802
1920,4196812
1921,1837520
1922,3279315
1923,1051095
1924,1313239
1925,1051097
1926,3279321
1927,1051099
1928,1182173
1929,1837537
1930,1051106
1931,1313249
1932,3541476
1933,3803618
1934,1706467
1935,1051111
1936,3279337
1937,1051115
1938,1837549
1939,3410413
1940,1313268
1941,3017205
1942,1051127
1943,4327928
1944,1837561
1945,1313275
1946,3410430
1947,2361855
1948,1837570
1949,1968643
1950,3541506
1951,1313286
1952,1313287
1953,3148295
1954,1182223
1955,1313297
1956,1051158
1957,4065817
1958,1313306
1959,1051163
1960,1575451
1961,3017243
1962,1968670
1963,3279390
1964,2361886
1965,4065825
1966,1313313
1967,3017251
1968,1837599
1969,1313317
1970,4065826
1971,1051175
1972,3672616
1973,1837608
1974,1051183
1975,1313331
1976,1313332
1977,2230837
1978,3148342
1979,1313333
1980,1051193
1981,1051195
1982,3279419
1983,1313339
1984,1968704
1985,2230848
1986,2230851
1987,1837636
1988,3672648
1989,4196937
1990,1968714
1991,3672651
1992,1313356
1993,5245513
1994,4721230
1995,1051215
1996,1051216
1997,1051217
1998,1706575
1999,4038519
2000,3279445
2001,1837654
2002,3017304
2003,5245529
2004,1051226
2005,2230873
2006,1313373
2007,1051231
2008,5245537
2009,5245538
2010,3148387
2011,3148385
2012,1485468
2013,1313382
2014,1968743
2015,1968744
2016,1313383
2017,4852332
2018,4328044
2019,2099823
2020,1968754
2021,4196978
2022,1968756
2023,1313397
2024,1313396
2025,1051255
2026,1968760
2027,4328056
2028,3279481
2029,4852347
2030,1313409
2031,3541638
2032,3803783
2033,3148426
2034,4328076
2035,5245581
2036,1313421
2037,1313423
2038,5245583
2039,5245585
2040,1182354
2041,1313422
2042,1706638
2043,2886295
2044,1444504
2045,1051289
2046,3410584
2047,3279516
2048,3017373
2049,1051294
2050,1277067
2051,5245600
2052,3017376
2053,1444514
2054,1313443
2055,1968805
2056,1313446
2057,3541670
2058,1051305
2059,1313450
2060,1706668
2061,3672749
2062,1444526
2063,5245615
2064,4328109
2065,1313457
2066,1051314
2067,1313455
2068,4852397
2069,1313462
2070,1313463
2071,1313464
2072,2099894
2073,5245627
2074,1051324
2075,1313468
2076,3803838
2077,1051326
2078,1444540
2079,1444544
2080,1444547
2081,1313478
2082,1313479
2083,1313482
2084,1444555
2085,1051341
2086,1444558
2087,1182415
2088,1313488
2089,1968849
2090,1313489
2091,1444563
2092,3803859
2093,1051349
2094,1444562
2095,1313495
2096,1313496
2097,1051353
2098,1313500
2099,1444574
2100,3017439
2101,1051360
2102,1313505
2103,1182434
2104,1051363
2105,2231010
2106,2362082
2107,4246960
2108,2231009
2109,1837800
2110,3017449
2111,1051370
2112,1051369
2113,1706730
2114,3148525
2115,1837806
2116,1837807
2117,2231024
2118,1313521
2119,1968882
2120,1313520
2121,1837811
2122,1837810
2123,1837814
2124,3148530
2125,1837816
2126,1837817
2127,1051386
2128,1051387
2129,1313528
2130,4066045
2131,1051390
2132,1837823
2133,3017471
2134,1182461
2135,1051393
2136,4066044
2137,1575685
2138,1444613
2139,2099975
2140,1575686
