author,book_id
Dom Marcos Barbosa,[157993]
Melina Karakosta,[157993]
Jeannette Walls,"[7445, 6366437, 16130291]"
Jon Krakauer,"[1845, 1898, 10847, 2936415]"
Charles Dickens,"[1953, 2623, 18254, 58696, 31242, 5344, 31250, 5338, 325085, 9748274, 31244, 229432, 1990]"
Richard Maxwell,[1953]
Hablot Knight Browne,"[1953, 31242, 1990]"
John Grisham,"[32542, 5359, 32499, 24192, 5349, 5355, 5351, 17288661, 1110, 5346, 5356, 5360, 20707959, 5352, 3613997, 5345, 11600163, 7933437, 5357, 1248179, 1205297, 5347, 29354916, 7824997, 6398972, 452235, 10720733]"
Elie Wiesel,[1617]
Marion Wiesel,[1617]
William Goldman,[21787]
S.E. Hinton,"[231804, 33569]"
James Dashner,"[6186357, 7631105, 7864437, 13089710, 16279856]"
Steven D. Levitt,"[1202, 6402364, 17331349]"
Stephen J. Dubner,"[1202, 6402364, 17331349]"
Frances Hodgson Burnett,[2998]
Gabriel García Márquez,"[320, 9712, 23878, 760, 23887, 23884, 105189]"
Gregory Rabassa,"[320, 23878, 53413, 23887]"
Oscar Wilde,"[5297, 92303, 92308, 5296, 45685, 5289, 79121, 122649]"
Jeffrey Eugenides,"[5297, 2187, 10956, 10964693]"
Bram Stoker,[17245]
Nina Auerbach,[17245]
David J. Skal,[17245]
Barbara Kingsolver,"[7244, 30868, 25460, 14249, 13438524, 77262, 6433752, 14250]"
David Sedaris,"[4137, 4138, 10176, 1044355, 4136, 15790837, 4143, 7857195]"
Maurice Sendak,"[19543, 201146]"
Alexandre Dumas,"[7126, 54499, 388223]"
Robin Buss,"[7126, 110871]"
Cormac McCarthy,"[6288, 12497, 394535, 469571, 365990, 394469]"
Tina Fey,[9418327]
Sophie Kinsella,"[9416, 33724, 33722, 1358844, 12033455, 6063187, 9420, 9418, 9419, 9417, 17910611, 7415016, 23305614, 21064599, 25809756]"
Victor Hugo,"[24280, 30597]"
Lee Fahnestock,[24280]
Norman MacAfee,[24280]
Kim Edwards,[10441]
Jojo Moyes,"[15507958, 25041504, 18693716, 17572903, 10163292, 1373381, 2895896]"
Joseph Heller,[168668]
Mitch Albom,"[6900, 10929, 13624688, 1255781, 17888952, 25142924]"
Saulius Dagys,[6900]
Madeleine L'Engle,"[18131, 18130, 151370]"
Amy Tan,"[7763, 12555, 12557, 17383934, 690866, 9503]"
Margaret Atwood,"[38447, 46756, 78433, 6080337, 51019, 17262203, 24388326, 17650, 17645, 46755]"
Ann Brashares,"[452306, 5454, 5452, 5453, 296302, 7135858]"
Vladimir Nabokov,"[7604, 51496, 7805, 30593, 376561]"
Craig Raine,[7604]
Gregory Maguire,"[37442, 13521, 3124249]"
Douglas Smith,"[37442, 13521, 3124249]"
Emma Donoghue,"[7937843, 18295858]"
Richard Andrews,[1420]
Rex Gibson,[1420]
Frank Herbert,"[234225, 106, 112, 42432, 117, 105]"
Malcolm Gladwell,"[2612, 3228917, 40102, 15751404, 6516450]"
Walter Isaacson,"[11084145, 10884, 10883, 21856367]"
Ken Kesey,[332613]
Ernest Hemingway,"[2165, 3876, 46170, 10799, 4631, 4625, 4645, 4630, 10775]"
L.M. Montgomery,"[8127, 77390, 77391, 3562, 433533, 77395, 95693, 773514]"
Rebecca Wells,[137791]
Diana Gabaldon,"[10964, 5364, 10987, 10988, 10967, 10965, 2832909, 11710373, 10990, 41502]"
Nathaniel Hawthorne,"[12296, 90192]"
Thomas E. Connolly,[12296]
Nina Baym,[12296]
Ransom Riggs,"[9460487, 24120519]"
Andy Weir,[18007564]
Ken Follett,"[5043, 7315573, 92364, 825508, 92367, 5062, 41689, 92373, 5053, 5055, 825509, 92375]"
Anthony Doerr,[18143977]
Donna Tartt,"[17333223, 29044, 775346]"
Jay Asher,"[1217100, 10959277]"
Tracy Chevalier,"[2865, 89788, 6457081, 15705011, 2873, 2872]"
Gayle Forman,"[4374400, 17623975, 18879761, 12842134, 20309175]"
Anita Diamant,[4989]
Emily Giffin,"[42156, 42155, 42149, 2120652, 7114761, 12987977]"
Dr. Seuss,"[23772, 233093, 191139, 113946, 7784, 7779, 105551, 206962, 7769, 11301, 667234]"
לאה נאור,[23772]
Roald Dahl,"[6310, 39988, 6689, 6319, 6327, 31456, 6693, 74532, 6667, 194755, 6670, 6678, 6671, 6694]"
Quentin Blake,"[6310, 39988, 6689, 6319, 6327, 31456, 6693, 74532, 6667, 194755, 6670, 6678, 6694]"
Albert Camus,"[49552, 11989, 11991, 11987]"
Matthew    Ward,[49552]
Rainbow Rowell,"[15745753, 16068905, 18081809, 8909152, 23734628, 20309175]"
Ally Condie,"[7735333, 15812814]"
Neil Gaiman,"[4407, 15783514, 17061, 12067, 2213661, 14497, 16793, 2744, 23754, 25100, 25099, 16790, 25101, 15719, 16788, 25102, 25106, 22522808, 333867, 25103, 17349203, 25104, 23301545, 30831912, 2108198, 47701]"
Bernie Wrightson,"[149267, 4978, 550844]"
Fiona Stafford,[6969]
Leo Tolstoy,"[15823480, 656, 18386, 42641]"
Louise Maude,"[15823480, 656, 42641]"
Leo Tolstoj,[15823480]
Aylmer Maude,"[15823480, 656, 18386, 42641]"
Anthony Burgess,[227463]
William Paul Young,[1812457]
Fyodor Dostoyevsky,"[7144, 4934, 12505, 12857, 5695, 49455, 1772910, 17877]"
David McDuff,[7144]
Sylvia Plath,"[6514, 395090, 11623]"
Frank McCourt,"[252577, 4912, 4909]"
Hermann Hesse,"[52036, 16631, 5954, 16634]"
Hilda Rosner,[52036]
Truman Capote,"[168642, 251688]"
Kami Garcia,"[6304335, 7842288, 10757833, 7930335]"
Margaret Stohl,"[6304335, 7842288, 10757833, 7930335]"
Erin Morgenstern,[9361589]
Philippa Gregory,"[37470, 16181, 5971165, 252499, 16180, 7148256, 16183, 9542439, 2241558, 12326644, 12326627, 33609, 16188, 15849910]"
Scott Westerfeld,"[24770, 24768, 24765, 493456, 6050678, 7826116, 9918083, 24766, 186103, 24767, 24769]"
Cheryl Strayed,[12262741]
Alan Moore,"[472331, 5805, 96358, 297627, 23529]"
Dave Gibbons,[472331]
John Higgins,[472331]
Patrick Rothfuss,"[186074, 1215032, 21535271]"
Herman Melville,"[153747, 114230, 15613]"
Andrew Delbanco,[153747]
Tom Quirk,[153747]
Mary Ann Shaffer,[2728527]
Annie Barrows,[2728527]
Chuck Palahniuk,"[5759, 29059, 22290, 22283, 22288, 22284, 22285, 1840511, 9912994, 4601396, 3717, 19523454]"
Charlaine Harris,"[301082, 110494, 140077, 140082, 140075, 170210, 140079, 2233407, 5161066, 7091488, 7981206, 10407279, 15985348, 58077, 6202318, 140078, 140097, 45020, 6344832, 140091]"
Alice Walker,[11486]
John Grogan,[12691]
Agatha Christie,"[16299, 16343, 16304, 16331, 16328, 209194, 131359, 16322, 16319, 16305, 16298, 140278, 49596, 121648, 16360, 16297, 16363, 81903, 16349, 16316, 16424, 639787, 16315, 16372, 16326, 16335, 16342, 215492, 16300, 834378, 148584, 31304, 16307, 140345, 527744, 16341, 31300, 433035, 16312, 388018, 68930]"
Becca Fitzpatrick,"[6339664, 7791997, 10637766, 12751687]"
Jamie McGuire,"[11505797, 15745950, 18104607, 18528454]"
Anne Rice,"[43763, 43814, 43758, 11901, 31336, 31338, 31332, 31340, 26582, 43782, 43781, 31341, 31337, 25190, 12880428, 18750, 31342, 31331, 21412673, 31335, 31333, 43799, 25347]"
Kiera Cass,"[10507293, 16248068, 18635016, 22918050, 6618272, 18172471]"
Janet Evanovich,"[6853, 6427, 6854, 6422, 6858, 6423, 6424, 6425, 40331, 11003, 86663, 3507, 40317, 2292384, 6048530, 9583508, 7023554, 11746513, 14740588, 16169737, 40329, 6426]"
Rebecca Skloot,[6493208]
Thomas Harris,"[23807, 28877, 32418, 32416]"
Richelle Mead,"[345627, 2282133, 2802316, 6479259, 5996153, 6527740, 8709527, 8709523, 235718, 1316617, 2977487]"
Ian McEwan,"[6867, 5015, 815309, 21965107, 13562049, 6870, 7140754, 9957, 30008702, 6872]"
Franz Kafka,"[485894, 17690, 7723, 333538, 22904, 22911, 581552]"
Stanley Corngold,[485894]
Ernest Cline,"[9969571, 16278318]"
Garth Stein,[3153910]
Erik Larson,"[21996, 9938498, 22551730, 40067]"
Tony Goldwyn,[21996]
Sylvia Day,"[13572249, 13596809, 15731779, 17876893, 17876897, 15743075]"
Pauline Baynes,"[11127, 140225, 65641]"
Dave Pelzer,"[60748, 2743, 73864]"
Robert Ludlum,"[7869, 15769, 31259, 573201, 7144426, 31268, 31271, 763594]"
Eoin Colfer,"[249747, 114955, 227865, 114954, 37586, 2179276, 7005865, 9307674, 6359434, 45432, 2049993]"
Lauren Kate,"[6487308, 7740152, 9369720, 12716010, 12588363, 16070143]"
Emma McLaughlin,[228333]
Nicola Kraus,[228333]
Lewis Carroll,"[24213, 83346, 6324090, 7505716]"
John Tenniel,"[24213, 83346, 6324090, 7505716]"
Martin Gardner,[24213]
James Kinsley,[2156]
Deidre Shauna Lynch,[2156]
Tatiana de Rosnay,"[556602, 7963208]"
Edith Grossman,"[9712, 760, 53969, 23884]"
Laurie Halse Anderson,"[439288, 5152478, 18079527]"
Liane Moriarty,"[17802724, 19486412, 6469165, 26247008, 1466455, 1282954, 23751850]"
Augusten Burroughs,"[242006, 32370, 79790, 61115, 2145681]"
Max Brooks,"[8908, 535441]"
James Patterson,"[13145, 13148, 13137, 13152, 7494, 7510, 13139, 13136, 33676, 13153, 33668, 2029177, 13140, 13143, 21436, 13128, 3393124, 13130, 1829709, 79378, 13162, 79379, 13131, 6431790, 6588, 84736, 552894, 6387565, 7201913, 552887, 53625, 13147, 7134202, 13133, 45169, 13151, 110444, 7156505, 13353667, 85733, 9436746, 7926569, 6405929, 10830444, 1713912, 11872242, 5575, 15734464, 23717678, 10343389, 11946245, 7856305, 18453095, 2029176, 23346918, 3188186, 7134201, 18656055, 13521399, 5551522, 9682816, 8437913, 20800147, 6266907, 6455256, 11343348, 13097901, 17333277, 25613617, 13157, 10808006, 9798177, 16131072, 18170134, 17333279, 10844125, 10399742, 2235597, 6987558, 14781219]"
Katherine Paterson,"[2839, 337058, 163465]"
P.C. Cast,"[30183, 676924, 2866718, 1326258, 4134071, 6917952, 6262365, 8652190, 7933617, 7933615, 16096873, 16136599]"
Kristin Cast,"[30183, 676924, 2866718, 1326258, 4134071, 6917952, 6262365, 8652190, 7933617, 7933615, 16096873, 16136599]"
Stephen R. Covey,"[36072, 36071, 15014, 1044141, 44644]"
Barbara A. Mowat,"[1622, 12957, 24128, 37526, 104837, 91571]"
Paul Werstine,"[1622, 12957, 24128, 37526, 104837, 91571]"
Catherine Belsey,[1622]
Jonathan Safran Foer,"[4588, 256566]"
R.J. Palacio,[11387515]
Marissa Meyer,"[11235712, 13206760, 13206828, 13206900, 18584855]"
Robert Galbraith,"[16160797, 18214414, 25735012]"
Maggie Stiefvater,"[6068551, 17675462, 6654313, 9409458, 17347389, 10626594]"
Ayn Rand,"[662, 2122, 667, 668, 665]"
Leonard Peikoff,"[662, 2122, 668]"
Greg Mortenson,"[49436, 6452760]"
David Oliver Relin,[49436]
Carlos Ruiz Zafón,"[1232, 4912857, 7128341]"
Lucia Graves,"[1232, 4912857, 7128341]"
Dale Carnegie,"[4865, 4866]"
Frances Mayes,[480479]
Gail Carson Levine,[24337]
Betty  Smith,[14891]
Kristin Hannah,"[21853621, 1472878, 6668467, 8949352, 217432, 16044981, 1470232, 217436, 297134, 217433]"
Kazuo Ishiguro,"[6334, 28921, 22522805, 28923, 28922, 4772110]"
Daphne du Maurier,"[12873, 18869967, 18869970]"
Sally Beauman,[12873]
Daniel Keyes,[18373]
Laura Esquivel,[6952]
Thomas  Christensen,[6952]
Carol Christensen,[6952]
Lisa See,"[1103, 5960325, 9500416, 24472, 18404427]"
Mario Puzo,"[22034, 22026, 364089, 22028]"
Robert Thompson,[22034]
Peter Bart,[22034]
Isaac Asimov,"[29579, 41804, 29581, 29580, 46654, 41811, 76683, 30013, 29582, 41821, 76679, 509784, 30016, 41810, 99245, 76688, 302625, 50091]"
John Tiffany,[29056083]
Jack Thorne,[29056083]
Lauren Oliver,"[11614718, 6482837, 9593911, 9593913, 17565845, 22465597]"
Terry Pratchett,"[12067, 34497, 64216, 34507, 64222, 47989, 34506, 34484, 34494, 34504, 34517, 400354, 34532, 34499, 64217, 34529, 62530, 2442, 34502, 34511, 34501, 34510, 48002, 63720, 13147230, 116296, 64218, 34498, 47990, 34541, 78876, 47994, 8785374, 34492, 6250169, 7576115, 884288, 34534, 2855034, 11275323, 13516846, 17167572, 22886868]"
Jack Kerouac,"[70401, 412732, 50140, 330760, 10461]"
Graeme Simsion,"[16181775, 21844019]"
Richard Adams,[76620]
Abraham Verghese,"[3591262, 25899336]"
Robert Louis Stevenson,"[295, 51496, 51497, 20413, 219499, 296264]"
Eric Carle,"[4948, 759611, 598160, 556511]"
H.G. Wells,"[2493, 8909, 17184, 29981]"
Greg Bear,"[2493, 46656, 840278, 64732]"
Carlo Pagetti,[2493]
Todd Burpo,[7933292]
Lynn Vincent,"[7933292, 104189]"
John Boyne,"[39999, 180617]"
Joseph Conrad,"[4900, 12194, 616828, 115476]"
Rhonda Byrne,[52529]
Wally Lamb,"[227711, 5203, 3086160]"
Jennifer Weiner,"[14748, 14756, 6066819, 421549, 7227174]"
Colleen McCullough,"[3412, 480570]"
Dave McKean,"[2213661, 22374, 11256979]"
M.L. Stedman,[13158800]
Cornelia Funke,"[28194, 28195, 100464, 113304, 2325825]"
Anthea Bell,"[28194, 28195, 8835379, 71292, 132391, 88442]"
Spencer Johnson,"[4894, 763362]"
Kenneth H. Blanchard,"[4894, 763362, 206309]"
Bill Bryson,"[9791, 21, 28, 24, 7507825, 25, 27, 26, 17262366, 135611, 25489012]"
Maya Angelou,"[13214, 5160]"
Christina Baker Kline,[15818107]
Maria Semple,[13526165]
Milan Kundera,"[9717, 240976, 28634, 26114, 26101, 28635, 26097, 44559]"
Michael Henry Heim,"[9717, 53061]"
John Irving,"[4473, 7069, 4687, 11768, 4656, 9355, 6323821, 4660]"
Janet Fitch,"[32234, 33144]"
Marie Lu,"[9275658, 13414446, 14290364, 20821111, 23846013]"
Randy Pausch,[2318271]
Jeffrey Zaslow,[2318271]
Robert Jordan,"[228665, 233649, 34897, 9539, 13895, 8253920, 35231, 13890, 140974, 13888, 13891, 7743175, 113435, 187065, 187049]"
Lisa Genova,"[2153405, 8492768]"
David Nicholls,"[6280118, 21423525, 107896]"
Margaret Wise Brown,"[32929, 58922]"
Clement Hurd,"[32929, 58922]"
Pittacus Lore,"[7747374, 8659601, 12971616, 15861491, 19346451, 24488476]"
L. Frank Baum,"[236093, 60177, 179565]"
W.W. Denslow,[236093]
E. Lockhart,"[16143347, 1629601, 301022]"
Hunter S. Thompson,"[7745, 18864]"
Ralph Steadman,[7745]
Toni Morrison,"[6149, 11337, 11334, 11346, 5198, 37398, 23602473, 11359, 3009435]"
Kristin Cashore,"[3236307, 6137154, 12680907]"
Lemony Snicket,"[78411, 78418, 438492, 65119, 131123, 150037, 172327, 297792, 324277, 65111, 65118, 65110, 65112, 13477819]"
Brett Helquist,"[78411, 78418, 438492, 65119, 131123, 150037, 172327, 297792, 324277, 65111, 65118, 65110, 65112, 444347]"
Erich Maria Remarque,"[355697, 91203]"
A.W. Wheen,[355697]
Philip K. Dick,"[7082, 216363, 14817, 22584, 14185, 216377]"
Roger Zelazny,"[7082, 92121, 13821, 359581, 62012, 239917, 116982, 536790]"
George Cruikshank,[18254]
Philip Horne,[18254]
Stephanie Perkins,"[6936382, 9627755, 20309175]"
David   Lloyd,[5805]
David McCullough,"[2203, 1067, 22609391]"
Dean Koontz,"[14995, 32439, 16433, 32435, 32421, 14996, 32424, 182425, 16429, 32446, 2029927, 16434, 32432, 32441, 64948, 32422, 21337, 32430, 16435, 65948, 32433, 21362, 16431, 379316, 236208, 605015, 13154933, 17797381, 32434, 11166889, 32437, 32438, 15797722, 15746, 11166890, 32456, 228220, 32453, 32426, 32443, 7830126, 15722284, 228221, 64960, 4946005, 2983562, 32428, 268559, 64949, 481335]"
Jerry Spinelli,"[22232, 139463, 69392, 87220]"
Robert A. Heinlein,"[350, 17214, 16690, 353, 7171856, 17208, 20417, 348, 16685, 121581, 175324, 355]"
Jack London,"[1852, 43035, 37677, 43049, 929782, 194808]"
Jhumpa Lahiri,"[33917, 5439, 17262100, 85301]"
Deborah Harkness,"[8667848, 11559200, 16054217]"
Haruki Murakami,"[11297, 4929, 11275, 10357575, 19288239, 10374, 9557, 17803, 11298, 2195464, 17799, 17800, 9555, 11299, 9833, 23128304, 12254379, 17801]"
Jay Rubin,"[11297, 11275, 10357575, 17803, 9555, 11299, 9833, 12254379]"
Billie Letts,"[5168, 48183]"
David Levithan,"[6567017, 13262783, 25373, 7741325, 23228, 9279177, 20309175]"
James Frey,"[1241, 2179832, 20510241]"
Susan Cain,[8520610]
Scott O'Dell,[233818]
Arthur Miller,"[17250, 12898, 179142]"
Christopher Bigsby,"[17250, 179142]"
Gary Paulsen,"[50, 141372]"
Brandon Sanderson,"[68428, 7235533, 68429, 2767793, 17332218, 17182126, 8253920, 68427, 10803121, 7743175, 1268479, 15704459, 22443261, 15704486, 623976]"
Mervyn Peake,[51496]
Dan Chaon,[51496]
Jeff Kinney,"[389627, 1809465, 3293821, 6578293, 7823678, 11254250, 13563669, 17733898, 3157876, 21535019, 25222064]"
Sarah J. Maas,"[7896527, 17167166, 16096824, 20613470, 18006496, 17927395]"
Jamie Ford,"[3367956, 17232261]"
Patrick Süskind,[343]
John E. Woods,"[343, 88077, 80890]"
Eric Schlosser,[1097]
William Gibson,"[22328, 22320, 22200, 22323, 154091, 22326, 22325, 22322, 337116, 22321, 7745031]"
Sun Tzu,[10534]
Thomas Cleary,[10534]
William Landay,[11367726]
Betty Edwards,[627206]
Ann Patchett,"[5826, 9118135, 28214365, 80566]"
Jared Diamond,"[1842, 475, 49234]"
Chinua Achebe,[37781]
Gary Chapman,[567795]
Chris Cleave,"[6948436, 25814512, 12968662, 701738]"
Alyson Noel,"[3975774, 6134826, 6581511, 7198988, 7739934, 9395215]"
Diane Setterfield,[40440]
Paula McLain,"[8683812, 23995231]"
Umberto Eco,"[119073, 17841, 10505, 10314376, 10507]"
William Weaver,"[119073, 374233, 17841, 9809, 10507, 59780]"
Seán Barrett,[119073]
Beatrice Sparks,[46799]
Anonymous,"[46799, 1923820, 323355, 93101, 19351, 280111, 5883777, 159964, 265205, 534289, 5031805, 290882]"
John Kennedy Toole,[310612]
Walker Percy,"[310612, 10739]"
Philip Gabriel,"[4929, 10357575, 19288239, 9557, 2195464, 17799, 9833, 17801]"
J.R. Ward,"[42899, 42900, 35729, 42898, 304027, 1240662, 5098079, 7046495, 8492319, 10993282, 13570854, 6289920, 18108281, 21849362, 7828882]"
Arundhati Roy,[9777]
Stephen Hawking,"[3869, 8520362, 2095, 2094, 53200]"
Cao Chi,[3869]
Phạm Văn Thiều,[3869]
Neal Stephenson,"[830, 827, 22816087, 2845024, 10552338, 823, 822, 825]"
Sarah Dessen,"[51738, 51737, 22205, 5664985, 1295102, 816953, 8492856, 4325, 104378, 104379]"
A.A. Milne,"[99107, 776407, 99111, 99110, 821003, 821000]"
Ernest H. Shepard,"[99107, 48757, 776407, 99111, 99110, 821003, 821000]"
S.J. Watson,"[9736930, 17412188]"
Arthur Conan Doyle,"[102868, 3590, 8921, 188572, 194373, 608474, 194366, 736131, 754713, 6224895, 162823]"
Rick Warren,[56495]
Jim Butcher,"[47212, 91477, 91476, 91478, 91479, 99383, 17683, 91474, 91475, 927979, 29396, 133664]"
Alfred MacAdam,[50398]
Rick Yancey,"[16101128, 16131484, 16131489, 6457229]"
Charles Frazier,"[10920, 33896]"
Laura Joffe Numeroff,[767680]
Felicia Bond,[767680]
Tennessee Williams,"[12220, 92517, 72159]"
Elizabeth Kostova,"[10692, 5983057]"
Emily St. John Mandel,[20170404]
Fredrik Backman,"[18774964, 23604559, 27406704]"
Henning Koch,"[18774964, 23604559, 27406704]"
Pearl S. Buck,[1078]
John Berger,[2784]
Chuck Dixon,[659469]
David Wenzel,[659469]
Sean Deming,[659469]
Zora Neale Hurston,[37415]
Newt Scamander,[41899]
Albus Dumbledore,[41899]
Malala Yousafzai,[17851885]
Christina Lamb,[17851885]
Kathryn Sutherland,[45032]
Claire Lamont,[45032]
Viktor E. Frankl,[4069]
Tana French,"[237209, 1914973, 7093952, 20821043]"
Richard Dawkins,"[14743, 61535, 6117055, 117047, 11337189, 17977, 11256979]"
Lee Child,"[78129, 220968, 220969, 220970, 21745, 8357992, 455925, 10428708, 4494917, 6977769, 108942, 231562, 455930, 455941, 383028, 13359067, 17262159, 20263040, 23664710, 2211221, 28077464]"
Daniel Defoe,"[2932, 38262]"
Gerald McCann,[2932]
Virginia Woolf,"[2932, 14942, 59716, 18521, 18839, 46114]"
Niccolò Machiavelli,[28862]
Adolph Caso,[28862]
Rufus Goodwin,[28862]
Benjamin Martinez,[28862]
Terry Goodkind,"[43889, 234184, 43892, 121127, 761732, 5038, 43893, 43887, 604803, 8598554, 15707526, 6311614]"
Kathleen Grissom,[6837103]
Richard Pevear,"[4934, 5695, 49455, 5693]"
Larissa Volokhonsky,"[4934, 5695, 49455, 5693]"
Jeanne DuPrau,"[307791, 3467]"
Kahlil Gibran,"[2547, 291]"
Art Spiegelman,"[15196, 15195, 431]"
Dave Eggers,"[4953, 18302455, 4952, 4954, 13722902]"
Jean M. Auel,"[1295, 40493, 49824, 74389, 46544, 8318666]"
Anna Sewell,[3685]
Henry Gifford,[656]
Bret Easton Ellis,"[28676, 9915, 9912, 9913, 7519866]"
